molecule_chembl_id,,fix_smiles,standard_value,pic50
CHEMBL432963,,CCCCN=C(N)NC(=O)c1ccc(C)cc1,9000,5.045757491
CHEMBL814,,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,39400,4.404503778
CHEMBL1958460,,CCCCCCCC(O)(C(N)=O)c1cccc(Cl)c1,5780,5.238072162
CHEMBL1958461,,CCCCCCC[C@](O)(C(N)=O)c1cccc(Cl)c1,7430,5.129011186
CHEMBL1958462,,CCCCCCC[C@@](O)(C(N)=O)c1cccc(Cl)c1,4780,5.320572103
CHEMBL3958169,,COc1cc(-c2cc(OC)c(-n3c(=O)ccc4cc(S(=O)(=O)Nc5ccon5)ccc43)cc2F)ccc1C,10000,5
CHEMBL3935302,,COc1cc(-c2cc(F)cc(F)c2)c(C)cc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)ccc21,30000,4.522878745
CHEMBL3933527,,COc1cc(-c2ccc(Cl)c(C)c2)c(F)cc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)ccc21,30000,4.522878745
CHEMBL3945969,,COc1cc(-c2cc(F)cc(Cl)c2)c(F)cc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)ccc21,14000,4.853871964
CHEMBL3939521,,COc1cc(-c2cc(F)cnc2OC)ccc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)ccc21,10000,5
CHEMBL3658000,,O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(OCC23CC4(F)CC(F)(CC(F)(C4)C2)C3)cc1F,950,6.022276395
CHEMBL3657943,,O=C(NS(=O)(=O)N1CC(F)(F)C1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,326,6.4867824
CHEMBL3657838,,O=C(NS(=O)(=O)N1CC(O)C1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,60.6,7.217527376
CHEMBL3657934,,O=C(NS(=O)(=O)N1CC(F)C1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,422,6.374687549
CHEMBL3657953,,COC1CN(S(=O)(=O)NC(=O)c2cc(C3CC3)c(OCC34CC5CC(CC(C5)C3)C4)cc2F)C1,144,6.841637508
CHEMBL3657855,,O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,51.5,7.288192771
CHEMBL3657979,,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC23CC4(F)CC(F)(CC(F)(C4)C2)C3)cc1F,3500,5.455931956
CHEMBL3657937,,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC23CC4CC(C2)C(F)(F)C(C4)C3)cc1F,714,6.146301788
